日期,單字,原詞,字首,字根,關聯詞,詞性,註解,詞性,註解,詞性,註解
11/12/2021,avid,,,,,形,渴望的；熱心的,,,,
11/12/2021,dedicate,,,,,動,奉獻；致力,,,,
11/12/2021,eminent,,,,,形,卓越的；著名的,,,,
11/12/2021,inspiring,,,,,形,啟發靈感的；鼓舞人心的,,,,
11/12/2021,memorable,,,,,形,值得紀念的,,,,
11/12/2021,praiseworthy,,,,,形,值得誇獎的,,,,
19/12/2021,approval,,,,,名,認可；贊成,,,,
19/12/2021,attach,,,,,動,附加；附件；連結,,,,
19/12/2021,branch,,,,,動,分部,,,,
19/12/2021,newsletter,,,,,名,通報,,,,
19/12/2021,in charge,,,,,片,負責,,,,
19/12/2021,in-house,,,,,片,內部,,,,
19/12/2021,instruct,,,,,動,指定；說明,,,,
19/12/2021,notify,,,,,動,通知；告知,,,,
19/12/2021,office supply,,,,,名,辦公室用品,,,,
19/12/2021,overtime,,,,,名,加班,,,,
19/12/2021,placement,,,,,名,職位；工作；崗位,,,,
19/12/2021,post,,,,,動,公布,,,,
19/12/2021,progress,,,,,名,進度；進行,,,,
19/12/2021,promote,,,,,動,升遷,,,,
19/12/2021,review,,,,,名,檢視,,,,
19/12/2021,shift,,,,,動,輪班；調班,,,,
19/12/2021,submit,,,,,動,提交,,,,
19/12/2021,supervise,,,,,動,監督,,,,
19/12/2021,affiliate,,,,,名,所屬機構,動,攜手；聯合,,
19/12/2021,conduct,,,,,動,執行,,,,
19/12/2021,seminar,,,,,名,研討會,,,,
19/12/2021,convention,,,,,名,習俗；大會,,,,
19/12/2021,convention hall,,,,,名,會議廳,,,,
19/12/2021,enroll,,,,,動,登入,,,,
19/12/2021,exposition,,,,,名,展會；博覽會,,,,
19/12/2021,headquarters,,,,,名,總部；總公司,,,,
19/12/2021,participate,,,,,動,參與,,,,
19/12/2021,patron,,,,,名,熟客；資助者,,,,
19/12/2021,trade fair,,,,,名,貿易展,,,,
19/12/2021,amenity,,,,,名,便利設施；禮儀；和藹,,,,
19/12/2021,availability,,,,,名,可用性,,,,
19/12/2021,cafeteria,,,,,名,自助餐,,,,
19/12/2021,comfortable,,,,,形,舒適的；舒服的,,,,
19/12/2021,decent,,,,,形,得體的,,,,
19/12/2021,facility,,,,,名,設施；場所,,,,
19/12/2021,reasonable,,,,,形,合理的；適度的,,,,
19/12/2021,arrangement,,,,,名,安排,,,,
19/12/2021,appointment1,,,,,名,預約,,,,
19/12/2021,modification,,,,,名,修改,,,,
19/12/2021,one-way,,,,,名,單程的,,,,
19/12/2021,pack,,,,,動,包裝,,,,
19/12/2021,postpone,,,,,動,延後；延期,,,,
19/12/2021,provision,,,,,動,規定；供食,名,條約；糧食；預防,,
19/12/2021,provisional,,,,,形,暫時的,,,,
19/12/2021,round-trip,,,,,形,來回的,,,,
19/12/2021,unexpectedly,,,,,副,突然的；沒有預料到的,,,,
19/12/2021,orientation,,,,,名,迎新；方向,,,,
19/12/2021,absense,,,,,名,缺席,,,,
19/12/2021,proficient,,,,,名,精通,形,精通的,,
19/12/2021,colleague,,,,,名,同事,,,,
19/12/2021,hesitant,,,,,形,猶豫的,,,,
19/12/2021,anxious,,,,,形,焦慮的,,,,
19/12/2021,shortlist,,,,,動,入圍,,,,
19/12/2021,apprentice,,,,,名,學徒,,,,
25/12/2021,ambience,,,,,名,氣氛；環境,,,,
25/12/2021,appetizer,,,,,名,前菜,,,,
25/12/2021,bargain,,,,,名,特價品,動,討價還價,,
25/12/2021,bustling,,,,,名,忙碌,,,,
25/12/2021,certified,,,,,形,認證的；有保障的,,,,
25/12/2021,cuisine,,,,,名,料理,,,,
25/12/2021,diner,,,,,名,用餐者,,,,
25/12/2021,dish,,,,,名,盤子,,,,
25/12/2021,entrée,,,,,名,主食,,,,
25/12/2021,family-owned,,,,,形,家庭經營的,,,,
25/12/2021,franchise,,,,,名,加盟店；加盟權,,,,
25/12/2021,grocery,,,,,名,雜貨；雜貨店,,,,
25/12/2021,licensed,,,,,形,得到許可的,,,,
25/12/2021,pricey,,,,,形,價格高的；昂貴的,,,,
25/12/2021,serving,,,,,名,服務；上菜,,,,
25/12/2021,showroom,,,,,名,展示間,,,,
25/12/2021,storage,,,,,名,庫存,,,,
25/12/2021,unparalleded,,,,,形,空前的；無比的,,,,
25/12/2021,vegetarian,,,,,名,素食者,形,素食的,,
25/12/2021,administrative,,,,,形,管理的；行政的,,,,
25/12/2021,application,,,,,名,申請；申請書,,,,
25/12/2021,cover letter,,,,,名,求職信,,,,
25/12/2021,dismiss,,,,,動,解僱；開除,,,,
25/12/2021,dispatch,,,,,動,派遣；派出,,,,
25/12/2021,employment,,,,,名,雇用,,,,
25/12/2021,layoff,,,,,名,解僱；開除,,,,
25/12/2021,payroll,,,,,名,發薪名單；工資表,,,,
25/12/2021,pension,,,,,名,退休金；津貼,,,,
25/12/2021,requisite,,,,,名,必需品,形,必須的,,
25/12/2021,prequisite,,,,,名,必要條件,形,必須的,,
25/12/2021,probationary,,,,,形,試用的,,,,
25/12/2021,recruit,,,,,動,招募,名,新員工,,
25/12/2021,resignation,,,,,名,離職,,,,
25/12/2021,retirement,,,,,名,退休,,,,
25/12/2021,accompany,,,,,動,陪伴；陪同,,,,
25/12/2021,architectural,,,,,形,建築的,,,,
25/12/2021,ceiling,,,,,名,天花板,,,,
25/12/2021,couch,,,,,名,長沙發,,,,
25/12/2021,cozy,,,,,形,舒服的,,,,
25/12/2021,evacuate,,,,,動,清空；疏散,,,,
25/12/2021,flat,,,,,名,公寓,,,,
25/12/2021,furnished,,,,,形,備有家具的,,,,
25/12/2021,garage,,,,,名,車庫；修車廠,,,,
25/12/2021,housing,,,,,名,住宅,,,,
25/12/2021,inhabitant,,,,,名,居民；住戶,,,,
25/12/2021,landlord,,,,,名,房東；地主,,,,
25/12/2021,lease,,,,,名,租約,,,,
25/12/2021,outskirt,,,,,名,郊區,,,,
25/12/2021,parlor,,,,,名,客廳,,,,
25/12/2021,premises,,,,,名,建築物和基地,,,,
25/12/2021,property,,,,,名,房地產,,,,
25/12/2021,real estate,,,,,名,不動產,,,,
25/12/2021,remote,,,,,形,遙控的,,,,
25/12/2021,spacious,,,,,形,寬敞的,,,,
25/12/2021,stroll,,,,,動,散步,名,散步,,
25/12/2021,tenure,,,,,名,佔有,,,,
25/12/2021,vacant,,,,,形,空的；沒被佔用的,,,,
25/12/2021,accommodation,,,,,名,住宿；住處,,,,
25/12/2021,air,,,,,名,廣播,動,廣播,,
25/12/2021,attraction,,,,,名,景點,,,,
25/12/2021,boast,,,,,動,自誇,,,,
25/12/2021,fabulous,,,,,形,難以置信的；非常好的,,,,
25/12/2021,guided tour,,,,,片,有嚮導的旅遊,,,,
25/12/2021,inn,,,,,名,小旅館,,,,
25/12/2021,lodge,,,,,名,林間小屋,動,暫住,,
25/12/2021,premiere,,,,,動,首映,名,首映,,
25/12/2021,scenery,,,,,名,風景,,,,
25/12/2021,souvenir,,,,,名,紀念品,,,,
25/12/2021,tropical,,,,,形,熱帶雨林的,,,,
25/12/2021,tune in,,,,,片,收看；收聽,,,,
25/12/2021,collectibles,,,,,名,收藏品,,,,
25/12/2021,solicit,,,,,動,徵求；詢問,,,,
25/12/2021,charitable,,,,,形,慈善的,,,,
25/12/2021,charitable cause,,,,,片,慈善事業,,,,
25/12/2021,grill,,,,,動,烤,,,,
25/12/2021,dwell,,,,,動,居住,,,,
25/12/2021,foldable,,,,,形,可折疊的,,,,
25/12/2021,accessory,,,,,名,配件,,,,
25/12/2021,aspect,,,,,名,方面,,,,
25/12/2021,duty,,,,,名,責任,,,,
25/12/2021,guarantee,,,,,動,保證,,,,
25/12/2021,compliance,,,,,名,遵守；承諾,,,,
25/12/2021,coach,,,,,名,教練,動,輔導,,
25/12/2021,familiarity,,,,,名,熟悉度,,,,
27/12/2021,variety,,,,,名,種類；品種,,,,
27/12/2021,vast,,,,,形,遼闊的；豐富的,,,,
27/12/2021,bite,,,,,動,咬,,,,
27/12/2021,a bite to eat,,,,,片,咬一口,,,,
27/12/2021,fare,,,,,名,票價；消費；費用,,,,
27/12/2021,take advantage of,,,,,片,利用,,,,
27/12/2021,holder,,,,,名,持有者,,,,
27/12/2021,tourist,,,,,名,旅遊者,,,,
27/12/2021,shuttle,,,,,名,班車,動,穿梭,,
27/12/2021,house,,,,,動,駐守,,,,
27/12/2021,lounge,,,,,名,休息室,,,,
27/12/2021,complimentary,,,,,形,免費的,,,,
