日期,單字,詞性,註解,詞性.1,註解.1,詞性.2,註解.2
23/4/2022,delegate,動,委託,,,,
23/4/2022,broaden,動,擴大；擴增,,,,
23/4/2022,supplement,動,補充,,,,
23/4/2022,emerge,動,浮現,,,,
23/4/2022,pardon,動,諒解；寛恕,,,,
23/4/2022,alleviate,動,緩和；減輕,,,,
23/4/2022,acquire,動,獲得；收購,,,,
23/4/2022,acknowledge,動,告知；確認,,,,
23/4/2022,appear,動,出現；看起來,,,,
23/4/2022,assemble,動,集合；組合,,,,
23/4/2022,intend,動,打算；意圖,,,,
23/4/2022,double,動,使兩倍,,,,
23/4/2022,anticipate,動,預期,,,,
23/4/2022,justify,動,解釋；交待,,,,
23/4/2022,devise,動,想出；設計,,,,
23/4/2022,gauge,動,評估；測量,,,,
23/4/2022,mandatory,形,必須的,,,,
23/4/2022,fledgling,形,初生的；新生的,,,,
23/4/2022,foothold,名,立足地,,,,
23/4/2022,adhere,動,遵守,,,,
23/4/2022,access,動,接近,名,接近,,
23/4/2022,announcement,名,公告,,,,
23/4/2022,incentive,名,鼓勵,,,,
23/4/2022,affix,動,粘貼；附加,名,詞綴；附件,,
23/4/2022,handle,動,處理；搬運,,,,
23/4/2022,diversity,動,使多樣化,,,,
23/4/2022,patronize,動,光顧,,,,
23/4/2022,bill,動,計費,名,帳單,,
23/4/2022,oversee,動,監督,,,,
23/4/2022,duplicate,動,重現,名,副本；複製品,形,複製的；雷同的
23/4/2022,assert,動,聲稱；主張,,,,
23/4/2022,consolidate,動,鞏固,,,,
23/4/2022,allocate,動,分配,,,,
23/4/2022,decline,動,推辭；衰退,,,,
23/4/2022,stray,動,迷路；遊蕩,名,迷路的人,形,迷路的
23/4/2022,compile,動,收集；編寫,,,,
23/4/2022,airfare,後,機票,,,,
23/4/2022,alert,動,警惕,,,,
23/4/2022,revise,動,修訂；溫習,,,,
23/4/2022,incline,動,傾斜；屈身,,,,
23/4/2022,employ,動,採用；僱用,,,,
23/4/2022,essay,動,嘗試；企圖,名,嘗試；散文；文章,,
23/4/2022,solicit,動,詢問；徵求,,,,
23/4/2022,deteriorate,動,惡化；變質；逆轉,,,,
23/4/2022,hasten,動,匆忙；敦促,,,,
23/4/2022,nurture,動,培育,名,培育,,
23/4/2022,interfere,動,乾擾,,,,
23/4/2022,inspect,動,檢查；核查,,,,
23/4/2022,reluctant,形,不情願的,,,,
23/4/2022,held,動,追究；握持,,,,
23/4/2022,accountable,形,負責任的,,,,
23/4/2022,permit,動,允許,名,允許,,
23/4/2022,fabricate,動,編造；捏造,,,,
23/4/2022,exterminate,動,毀滅,,,,
23/4/2022,descendant,名,後裔,,,,
23/4/2022,essential,形,基本的,,,,
23/4/2022,patent,名,專利,,,,
23/4/2022,boon,名,福利；恩惠,,,,
23/4/2022,mayor,名,市長,,,,
23/4/2022,initiative,名,提倡；初步行動,,,,
23/4/2022,receipt,動,確認收到,名,收據,,
23/4/2022,admittance,名,入場,,,,
23/4/2022,genetic,形,遺傳的；起源的,,,,
23/4/2022,hereditary,形,遺傳的；承受的,,,,
23/4/2022,repetition,名,重複,,,,
23/4/2022,prelude,名,序幕,,,,
23/4/2022,dormitory,名,宿舍,,,,
23/4/2022,counsel,名,議案；法律顧問,,,,
23/4/2022,premonition,名,預感；徵兆,,,,
23/4/2022,magnification,名,放大；讚賞,,,,
23/4/2022,stipulation,名,規定,,,,
